feature,mean,median,std,min,max
ASM_A_MeanT,0.7353717338177966,0.7435151797138518,0.1867175362071327,0.3334898523503948,0.9945542243659612
ASD_A_SDevT,0.6501900482873169,0.6082226174286014,0.15399822316058917,0.4030782029950084,1.0
BSM_B_MeanT,0.5916663014065481,0.5216178521617854,0.14760391172838885,0.34375,0.9816272965879264
BSD_B_SDevT,0.6250564735634043,0.5625000000000001,0.15078374052017807,0.3591549295774649,1.0
CSM_C_MeanT,0.6325401603492247,0.5610561056105613,0.1590122092169982,0.4600811907983765,1.0
CSD_C_SDevT,0.6484806347420049,0.5867393278837422,0.17130602087461805,0.3452699091394977,1.0
ISM_I_MeanT,0.6379472557820016,0.5913093157682485,0.13196520899011754,0.3736263736263737,1.0
ISD_I_SDevT,0.6399536113521239,0.5852895148669798,0.15632667764813596,0.3515037593984964,0.9868073878627968
ALM_A_MeanT,0.7004205690152052,0.7234042553191503,0.15810077620318252,0.3333333333333333,0.971428571428572
ALD_A_SDevT,0.695457846708373,0.7200000000000001,0.169466202796499,0.4297752808988765,0.977635782747604
BLM_B_MeanT,0.6013044867654824,0.5365499727915836,0.1533561032708469,0.3428372739916552,0.988306047444036
BLD_B_SDevT,0.6747366251527953,0.6283916633896974,0.1520912447846323,0.4491287240022486,0.9785670545009186
CLM_C_MeanT,0.6607034072673851,0.6398996235884568,0.15113200978129515,0.4586330935251801,1.0
CLD_C_SDevT,0.6817346315961765,0.631209232313096,0.15447870983951575,0.4860896445131376,1.0
ILM_I_MeanT,0.6477508339302491,0.622706435824705,0.1538226859454137,0.3524471854087392,0.9871370819551636
ILD_I_SDevT,0.6811041754510346,0.6387616714595095,0.15630440100141102,0.3771331058020479,0.988814317673378
