feature,gra_degree,spearman_rho,sign,signed_influence,rank,relationship_direction,association_level
ASM_A_MeanT,0.7353717338177966,-0.06178957885466683,-1,-0.7353717338177966,1,Negative,Strong
ALM_A_MeanT,0.7004205690152052,-0.22942270902853784,-1,-0.7004205690152052,2,Negative,Strong
ALD_A_SDevT,0.695457846708373,0.20572517484988714,1,0.695457846708373,3,Positive,Strong
CLD_C_SDevT,0.6817346315961765,0.2865029720122755,1,0.6817346315961765,4,Positive,Strong
ILD_I_SDevT,0.6811041754510346,0.19687857503221934,1,0.6811041754510346,5,Positive,Strong
BLD_B_SDevT,0.6747366251527953,0.3247249500382706,1,0.6747366251527953,6,Positive,Strong
CLM_C_MeanT,0.6607034072673851,0.4455943865505872,1,0.6607034072673851,7,Positive,Strong
ASD_A_SDevT,0.650190048287317,0.40775966555166426,1,0.650190048287317,8,Positive,Strong
CSD_C_SDevT,0.6484806347420049,0.4375313961329994,1,0.6484806347420049,9,Positive,Medium
ILM_I_MeanT,0.6477508339302491,-0.17653381030501614,-1,-0.6477508339302491,10,Negative,Medium
ISD_I_SDevT,0.6399536113521238,0.32647598967351793,1,0.6399536113521238,11,Positive,Medium
ISM_I_MeanT,0.6379472557820016,-0.0043629691932334964,-1,-0.6379472557820016,12,Negative,Medium
CSM_C_MeanT,0.6325401603492247,0.2802672279619105,1,0.6325401603492247,13,Positive,Medium
BSD_B_SDevT,0.6250564735634044,0.4275642029543931,1,0.6250564735634044,14,Positive,Medium
BLM_B_MeanT,0.6013044867654824,-0.3587023843115988,-1,-0.6013044867654824,15,Negative,Medium
BSM_B_MeanT,0.5916663014065481,-0.2213494141314534,-1,-0.5916663014065481,16,Negative,Medium
