feature,mean_abs_shap,mean_signed_shap,shap_rank,target,model_type,direction
CSM_C_MeanT,0.21748964,-0.010268859,1,DGap,baseline,Negative
CLM_C_MeanT,0.09165564,-0.00035895256,2,DGap,baseline,Negative
ASM_A_MeanT,0.08079025,-0.0062710606,3,DGap,baseline,Negative
ASD_A_SDevT,0.076443486,0.010315764,4,DGap,baseline,Positive
ILD_I_SDevT,0.07508602,0.030047413,5,DGap,baseline,Positive
BSM_B_MeanT,0.07414518,0.0011648238,6,DGap,baseline,Positive
BLM_B_MeanT,0.053525493,0.0016684658,7,DGap,baseline,Positive
ISM_I_MeanT,0.025170919,-0.0011000602,8,DGap,baseline,Negative
ALD_A_SDevT,0.02506295,-0.0034482959,9,DGap,baseline,Negative
ILM_I_MeanT,0.019431135,-0.001504996,10,DGap,baseline,Negative
ALM_A_MeanT,0.018691355,-0.0015246556,11,DGap,baseline,Negative
CLD_C_SDevT,0.015382567,-0.0068217306,12,DGap,baseline,Negative
ISD_I_SDevT,0.0057587335,0.00046971274,13,DGap,baseline,Positive
BSD_B_SDevT,0.0046636583,-0.0010475534,14,DGap,baseline,Negative
CSD_C_SDevT,0.0034686492,0.001107732,15,DGap,baseline,Positive
BLD_B_SDevT,0.0015839516,-3.11628e-05,16,DGap,baseline,Negative
