param_id,fold_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,gamma,joint_rmse_mean,joint_mae_mean,joint_r2_mean,DFlow_rmse,DFlow_mae,DFlow_r2,DGap_rmse,DGap_mae,DGap_r2
1,1,60,2,0.05,0.8,0.8,1.0,0.0,0.34835205838546235,0.27231618762016296,0.5580107569694519,0.27712403580476774,0.16526588797569275,0.5207622051239014,0.419580080966157,0.3793664872646332,0.5952593088150024
1,2,60,2,0.05,0.8,0.8,1.0,0.0,0.3463609153881168,0.26816343516111374,0.6104346513748169,0.31430023931171946,0.20270858705043793,0.5908101797103882,0.37842159146451415,0.33361828327178955,0.6300591230392456
1,3,60,2,0.05,0.8,0.8,1.0,0.0,0.3661156944369737,0.29900866746902466,0.5226817727088928,0.22774628792908513,0.16103187203407288,0.5384674072265625,0.5044851009448623,0.43698546290397644,0.5068961381912231
1,4,60,2,0.05,0.8,0.8,1.0,0.0,0.3165237489841642,0.23706705123186111,0.6018099188804626,0.24663246318905144,0.13573460280895233,0.5128724575042725,0.38641503477927697,0.3383994996547699,0.6907473802566528
1,5,60,2,0.05,0.8,0.8,1.0,0.0,0.39464801680124784,0.2880374565720558,0.34472402930259705,0.2942773458159673,0.14924706518650055,0.3764859437942505,0.49501868778652836,0.4268278479576111,0.3129621148109436
2,1,80,2,0.05,0.9,0.8,1.0,0.1,0.34796972433012907,0.26344528049230576,0.544824093580246,0.2937504829240441,0.17269845306873322,0.4615320563316345,0.402188965736214,0.3541921079158783,0.6281161308288574
2,2,80,2,0.05,0.9,0.8,1.0,0.1,0.3270680695518129,0.2488785982131958,0.6544915437698364,0.2902239200767794,0.18797364830970764,0.6510993242263794,0.36391221902684645,0.30978354811668396,0.6578837633132935
2,3,80,2,0.05,0.9,0.8,1.0,0.1,0.37940804922001103,0.30447671562433243,0.48893317580223083,0.23458827169944602,0.16681672632694244,0.5103200674057007,0.524227826740576,0.4421367049217224,0.467546284198761
2,4,80,2,0.05,0.9,0.8,1.0,0.1,0.306350433643389,0.22580914944410324,0.6226008832454681,0.24250586411671138,0.13532985746860504,0.5290371179580688,0.37019500317006654,0.31628844141960144,0.7161646485328674
2,5,80,2,0.05,0.9,0.8,1.0,0.1,0.4004296592776233,0.28846848756074905,0.3274206817150116,0.2957889492808194,0.14002461731433868,0.37006402015686035,0.5050703692744273,0.4369123578071594,0.28477734327316284
3,1,100,3,0.05,0.8,0.8,3.0,0.1,0.3385745978319882,0.244449645280838,0.566527932882309,0.28865809117343594,0.16220888495445251,0.48003971576690674,0.3884911044905405,0.3266904056072235,0.6530161499977112
3,2,100,3,0.05,0.8,0.8,3.0,0.1,0.31056152988516295,0.217694491147995,0.6852944195270538,0.2867230521562746,0.16796350479125977,0.6594658493995667,0.33440000761405125,0.2674254775047302,0.711122989654541
3,3,100,3,0.05,0.8,0.8,3.0,0.1,0.36368004102936824,0.28579723089933395,0.5441764295101166,0.21037128182500978,0.14813141524791718,0.6062028408050537,0.5169888002337267,0.42346304655075073,0.48215001821517944
3,4,100,3,0.05,0.8,0.8,3.0,0.1,0.3064759496419427,0.2046302780508995,0.6316468715667725,0.23435728483007462,0.11283056437969208,0.5601555109024048,0.3785946144538107,0.29642999172210693,0.7031382322311401
3,5,100,3,0.05,0.8,0.8,3.0,0.1,0.41876846644585064,0.29324645549058914,0.2723201513290405,0.29784360781193836,0.15101085603237152,0.3612820506095886,0.5396933250797629,0.43548205494880676,0.18335825204849243
4,1,120,3,0.03,0.9,0.9,3.0,0.0,0.34448855706537895,0.23958560824394226,0.5427940189838409,0.3024967984156206,0.15147215127944946,0.4289892911911011,0.3864803157151373,0.32769906520843506,0.6565987467765808
4,2,120,3,0.03,0.9,0.9,3.0,0.0,0.31536129101014654,0.22134219110012054,0.6756443977355957,0.2906875809591669,0.1668890416622162,0.6499836444854736,0.3400350010611261,0.2757953405380249,0.7013051509857178
4,3,120,3,0.03,0.9,0.9,3.0,0.0,0.36439528821697553,0.2772642597556114,0.5532510876655579,0.1971673720767859,0.12739668786525726,0.6540846824645996,0.5316232043571651,0.4271318316459656,0.4524174928665161
4,4,120,3,0.03,0.9,0.9,3.0,0.0,0.3115157451678213,0.20935814827680588,0.599979966878891,0.2545188263354503,0.12251032888889313,0.48122137784957886,0.3685126640001924,0.29620596766471863,0.7187385559082031
4,5,120,3,0.03,0.9,0.9,3.0,0.0,0.41938542205747853,0.28364505618810654,0.2694665193557739,0.2993923420751063,0.13845528662204742,0.3546223044395447,0.5393785020398507,0.42883482575416565,0.18431073427200317
5,1,150,4,0.03,0.8,0.8,5.0,0.1,0.347097025851182,0.24905245751142502,0.5470833778381348,0.293036885285763,0.1643199473619461,0.4641450047492981,0.40115716641660104,0.33378496766090393,0.6300217509269714
5,2,150,4,0.03,0.8,0.8,5.0,0.1,0.323026492405007,0.2201581373810768,0.6559697985649109,0.30786062629250643,0.17366726696491241,0.6074059009552002,0.3381923585175076,0.2666490077972412,0.7045336961746216
5,3,150,4,0.03,0.8,0.8,5.0,0.1,0.3625950576211397,0.2809876948595047,0.5549831390380859,0.19980119196872262,0.14180853962898254,0.644781231880188,0.5253889232735568,0.42016685009002686,0.4651850461959839
5,4,150,4,0.03,0.8,0.8,5.0,0.1,0.30915467633052196,0.20925146341323853,0.6276719868183136,0.23412064419639034,0.11232522130012512,0.561043381690979,0.3841887084646536,0.30617770552635193,0.6943005919456482
5,5,150,4,0.03,0.8,0.8,5.0,0.1,0.41483862568099383,0.283500500023365,0.2866823375225067,0.2938069876726029,0.144081249833107,0.3784775733947754,0.5358702636893847,0.42291975021362305,0.19488710165023804
6,1,100,4,0.08,0.9,0.9,1.0,0.2,0.351339172915118,0.24706928431987762,0.523912638425827,0.30901794010152894,0.16528469324111938,0.4041045308113098,0.3936604057287071,0.32885387539863586,0.6437207460403442
6,2,100,4,0.08,0.9,0.9,1.0,0.2,0.34025125874348294,0.23978334665298462,0.6177652478218079,0.3255333618296239,0.20181626081466675,0.5610384941101074,0.35496915565734194,0.2777504324913025,0.6744920015335083
6,3,100,4,0.08,0.9,0.9,1.0,0.2,0.3606500996243867,0.2712666243314743,0.5530998706817627,0.207026940426867,0.13841381669044495,0.6186239123344421,0.5142732588219064,0.40411943197250366,0.48757582902908325
6,4,100,4,0.08,0.9,0.9,1.0,0.2,0.3086011548624409,0.2098851352930069,0.5943766534328461,0.262077782740944,0.13719353079795837,0.4499494433403015,0.3551245269839377,0.2825767397880554,0.7388038635253906
6,5,100,4,0.08,0.9,0.9,1.0,0.2,0.41169429906560906,0.28699856996536255,0.29554441571235657,0.2946431567141013,0.147355318069458,0.3749349117279053,0.5287454414171168,0.4266418218612671,0.21615391969680786
