output,feature,importance
DFlow,ASM_A_MeanT,0.07518013566732407
DFlow,ASD_A_SDevT,0.08479363471269608
DFlow,BSM_B_MeanT,0.05593540519475937
DFlow,BSD_B_SDevT,0.12437515705823898
DFlow,CSM_C_MeanT,0.04460378736257553
DFlow,CSD_C_SDevT,0.02413495071232319
DFlow,ISM_I_MeanT,0.030394207686185837
DFlow,ISD_I_SDevT,0.05023585632443428
DFlow,ALM_A_MeanT,0.03628680855035782
DFlow,ALD_A_SDevT,0.0420968197286129
DFlow,BLM_B_MeanT,0.11082883179187775
DFlow,BLD_B_SDevT,0.03299735486507416
DFlow,CLM_C_MeanT,0.1967906504869461
DFlow,CLD_C_SDevT,0.02799917198717594
DFlow,ILM_I_MeanT,0.021281229332089424
DFlow,ILD_I_SDevT,0.04206596314907074
DGap,ASM_A_MeanT,0.062043849378824234
DGap,ASD_A_SDevT,0.05313001573085785
DGap,BSM_B_MeanT,0.13727550208568573
DGap,BSD_B_SDevT,0.019663522019982338
DGap,CSM_C_MeanT,0.2765818238258362
DGap,CSD_C_SDevT,0.03272903710603714
DGap,ISM_I_MeanT,0.037372760474681854
DGap,ISD_I_SDevT,0.028951501473784447
DGap,ALM_A_MeanT,0.02788805030286312
DGap,ALD_A_SDevT,0.0251066442579031
DGap,BLM_B_MeanT,0.1359902322292328
DGap,BLD_B_SDevT,0.02126171998679638
DGap,CLM_C_MeanT,0.04444779083132744
DGap,CLD_C_SDevT,0.0306827574968338
DGap,ILM_I_MeanT,0.02822636440396309
DGap,ILD_I_SDevT,0.038648445159196854
