model,feature,penalty
forward_master,ASM_A_MeanT,0.15000015663130406
forward_master,ALM_A_MeanT,0.6974448086824299
forward_master,ALD_A_SDevT,0.7751765753298381
forward_master,CLD_C_SDevT,0.9901250831850642
forward_master,C,0.55
forward_slave_independent,CSM_C_MeanT,0.15000018315841723
forward_slave_independent,CLM_C_MeanT,0.37329122328095377
forward_slave_independent,BLD_B_SDevT,0.833680812266728
forward_slave_independent,CSD_C_SDevT,1.0
forward_slave_independent,C,0.4884501499904902
forward_slave_collaborative,CSM_C_MeanT,0.15000018315841723
forward_slave_collaborative,CLM_C_MeanT,0.37329122328095377
forward_slave_collaborative,BLD_B_SDevT,0.833680812266728
forward_slave_collaborative,CSD_C_SDevT,1.0
forward_slave_collaborative,C,0.4884501499904902
forward_slave_collaborative,DFlow,0.15
reverse_master,CSM_C_MeanT,0.15000018315841723
reverse_master,CLM_C_MeanT,0.37329122328095377
reverse_master,BLD_B_SDevT,0.833680812266728
reverse_master,CSD_C_SDevT,1.0
reverse_master,C,0.4884501499904902
reverse_slave_collaborative,ASM_A_MeanT,0.15000015663130406
reverse_slave_collaborative,ALM_A_MeanT,0.6974448086824299
reverse_slave_collaborative,ALD_A_SDevT,0.7751765753298381
reverse_slave_collaborative,CLD_C_SDevT,0.9901250831850642
reverse_slave_collaborative,C,0.55
reverse_slave_collaborative,DGap,0.15
