model,feature,coefficient,abs_coefficient
forward_master,Intercept,0.1229995776239134,0.1229995776239134
forward_master,ASM_A_MeanT,0.12898445448654838,0.12898445448654838
forward_master,ALM_A_MeanT,-0.1709491070633484,0.1709491070633484
forward_master,ALD_A_SDevT,0.07098037159420519,0.07098037159420519
forward_master,CLD_C_SDevT,0.07178088086426745,0.07178088086426745
forward_master,C,-0.02951260714628924,0.02951260714628924
forward_slave_independent,Intercept,-0.01340841792499622,0.01340841792499622
forward_slave_independent,CSM_C_MeanT,0.4060247694639558,0.4060247694639558
forward_slave_independent,CLM_C_MeanT,0.11951892170266727,0.11951892170266727
forward_slave_independent,BLD_B_SDevT,-0.14167511006598366,0.14167511006598366
forward_slave_independent,CSD_C_SDevT,-0.0073982637446347015,0.0073982637446347015
forward_slave_independent,C,0.08666498042561546,0.08666498042561546
forward_slave_collaborative,Intercept,0.049960780277057096,0.049960780277057096
forward_slave_collaborative,CSM_C_MeanT,0.33637827548028204,0.33637827548028204
forward_slave_collaborative,CLM_C_MeanT,0.23032356118196062,0.23032356118196062
forward_slave_collaborative,BLD_B_SDevT,-0.10420424363900074,0.10420424363900074
forward_slave_collaborative,CSD_C_SDevT,0.05756757542218482,0.05756757542218482
forward_slave_collaborative,C,0.0431247234886164,0.0431247234886164
forward_slave_collaborative,DFlow,-0.5026429312144147,0.5026429312144147
reverse_master,Intercept,-0.013429557250584697,0.013429557250584697
reverse_master,CSM_C_MeanT,0.4063230772638574,0.4063230772638574
reverse_master,CLM_C_MeanT,0.11977049439252017,0.11977049439252017
reverse_master,BLD_B_SDevT,-0.1427315487836938,0.1427315487836938
reverse_master,CSD_C_SDevT,-0.0074660769581941745,0.0074660769581941745
reverse_master,C,0.08726440158527209,0.08726440158527209
reverse_slave_collaborative,Intercept,0.12115244105216737,0.12115244105216737
reverse_slave_collaborative,ASM_A_MeanT,0.10857298568001378,0.10857298568001378
reverse_slave_collaborative,ALM_A_MeanT,-0.18855442872209843,0.18855442872209843
reverse_slave_collaborative,ALD_A_SDevT,0.07869207719609257,0.07869207719609257
reverse_slave_collaborative,CLD_C_SDevT,0.07750067201644659,0.07750067201644659
reverse_slave_collaborative,C,-0.020509330034197963,0.020509330034197963
reverse_slave_collaborative,DGap,-0.11631201354613507,0.11631201354613507
